"WOCHENTAG","DATUM","VON","BIS","DAUER_IN_MINUTEN","LV_NUMMER","TITEL","LV_ART","LV_GRUPPE","ORT","EREIGNIS_TYP","TERMIN_TYP","VORTRAGENDER_KONTAKTPERSON","ANMERKUNG","INTERNE_BEMERKUNG"
"DO","14.10.2021","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","Online-Veranstaltung","Abhaltung","fix","","",""
"DO","21.10.2021","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","S16 (1385|216)","Abhaltung","fix","","",""
"DO","28.10.2021","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","S16 (1385|216)","Abhaltung","fix","","",""
"DO","04.11.2021","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","S16 (1385|216)","Abhaltung","fix","","",""
"DO","11.11.2021","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","S16 (1385|216)","Abhaltung","fix","","",""
"DO","18.11.2021","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","S16 (1385|216)","Abhaltung","fix","","",""
"DO","25.11.2021","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","S16 (1385|216)","Abhaltung","fix","","",""
"DO","02.12.2021","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","S16 (1385|216)","Abhaltung","fix","","",""
"DO","09.12.2021","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","S16 (1385|216)","Abhaltung","fix","","",""
"DO","16.12.2021","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","S16 (1385|216)","Abhaltung","fix","","",""
"DO","23.12.2021","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","S16 (1385|216)","Abhaltung","fix","","",""
"DO","13.01.2022","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","S16 (1385|216)","Abhaltung","fix","","",""
"DO","20.01.2022","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","S16 (1385|216)","Abhaltung","fix","","",""
"DO","27.01.2022","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","S16 (1385|216)","Abhaltung","fix","","",""
"DO","03.02.2022","14:30","16:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","S16 (1385|216)","Abhaltung","fix","","",""
