"WOCHENTAG","DATUM","VON","BIS","DAUER_IN_MINUTEN","LV_NUMMER","TITEL","LV_ART","LV_GRUPPE","ORT","EREIGNIS_TYP","TERMIN_TYP","VORTRAGENDER_KONTAKTPERSON","ANMERKUNG","INTERNE_BEMERKUNG"
"DI","09.10.2018","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","E1 (1090|301)","Abhaltung","fix","","",""
"DI","16.10.2018","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","E1 (1090|301)","Abhaltung","fix","","",""
"DI","23.10.2018","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","E1 (1090|301)","Abhaltung","fix","","",""
"DI","30.10.2018","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","E1 (1090|301)","Abhaltung","fix","","",""
"DI","13.11.2018","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","E1 (1090|301)","Abhaltung","fix","","",""
"DI","20.11.2018","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","E1 (1090|301)","Abhaltung","fix","","",""
"DI","27.11.2018","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","E1 (1090|301)","Abhaltung","fix","","",""
"DI","04.12.2018","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","E1 (1090|301)","Abhaltung","fix","","",""
"DI","11.12.2018","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","E1 (1090|301)","Abhaltung","fix","","",""
"DI","18.12.2018","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","E1 (1090|301)","Abhaltung","fix","","",""
"DI","08.01.2019","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","E1 (1090|301)","Abhaltung","fix","","",""
"DI","15.01.2019","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","E1 (1090|301)","Abhaltung","fix","","",""
"DI","22.01.2019","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","E1 (1090|301)","Abhaltung","fix","","",""
"DI","29.01.2019","10:30","12:00","90","7941688","Vorlesung Sprach- und Kommunikationswissenschaft (Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene)","VO","Standardgruppe","E1 (1090|301)","Abhaltung","fix","","",""
